,Questões,Respostas certas,Numeros de acertos,Porcetagem,Componente
0,Questão 1,E,1393.0,0.4680779569892473,Geral
1,Questão 2,C,835.0,0.2805779569892473,Geral
2,Questão 3,B,1786.0,0.6001344086021505,Geral
3,Questão 4,B,1176.0,0.3951612903225806,Geral
4,Questão 5,A,1653.0,0.5554435483870968,Geral
5,Questão 6,A,1853.0,0.6226478494623656,Geral
6,Questão 7,C,2003.0,0.6730510752688172,Geral
7,Questão 8,D,637.0,0.2140456989247312,Geral
8,Questão 9,X,,,Específico
9,Questão 10,E,1345.0,0.4519489247311828,Específico
10,Questão 11,C,1567.0,0.5265456989247311,Específico
11,Questão 12,B,827.0,0.27788978494623656,Específico
12,Questão 13,D,1306.0,0.4388440860215054,Específico
13,Questão 14,C,1841.0,0.6186155913978495,Específico
14,Questão 15,D,1912.0,0.6424731182795699,Específico
15,Questão 16,A,697.0,0.23420698924731181,Específico
16,Questão 17,X,,,Específico
17,Questão 18,X,,,Específico
18,Questão 19,A,1663.0,0.5588037634408602,Específico
19,Questão 20,B,1369.0,0.46001344086021506,Específico
20,Questão 21,X,,,Específico
21,Questão 22,E,1247.0,0.41901881720430106,Específico
22,Questão 23,B,2567.0,0.8625672043010753,Específico
23,Questão 24,B,902.0,0.3030913978494624,Específico
24,Questão 25,E,1835.0,0.6165994623655914,Específico
25,Questão 26,E,1736.0,0.5833333333333334,Específico
26,Questão 27,X,,,Específico
27,Questão 28,A,1746.0,0.5866935483870968,Específico
28,Questão 29,D,1387.0,0.46606182795698925,Específico
29,Questão 30,E,607.0,0.20396505376344087,Específico
30,Questão 31,A,799.0,0.26848118279569894,Específico
31,Questão 32,C,1143.0,0.3840725806451613,Específico
32,Questão 33,Z,,,Específico
33,Questão 34,D,1183.0,0.39751344086021506,Específico
34,Questão 35,D,1162.0,0.3904569892473118,Específico
