,Questões,Respostas certas,Numeros de acertos,Porcetagem,Componente
0,Questão 1,E,3709.0,0.4323347709523254,Geral
1,Questão 2,C,2134.0,0.24874694020282084,Geral
2,Questão 3,B,4617.0,0.5381746124256906,Geral
3,Questão 4,B,3011.0,0.35097330691222756,Geral
4,Questão 5,A,4169.0,0.4859540739013871,Geral
5,Questão 6,A,4979.0,0.5803706725725609,Geral
6,Questão 7,C,5499.0,0.6409837976454132,Geral
7,Questão 8,D,1795.0,0.20923184520340365,Geral
8,Questão 9,X,,,Específico
9,Questão 10,E,3660.0,0.42662314955122976,Específico
10,Questão 11,C,4418.0,0.5149784357151184,Específico
11,Questão 12,B,2248.0,0.26203520223802307,Específico
12,Questão 13,D,3769.0,0.4393285930761161,Específico
13,Questão 14,C,5025.0,0.5857326028674671,Específico
14,Questão 15,D,5322.0,0.6203520223802308,Específico
15,Questão 16,A,1750.0,0.20398647861056068,Específico
16,Questão 17,X,,,Específico
17,Questão 18,X,,,Específico
18,Questão 19,A,4961.0,0.5782725259354237,Específico
19,Questão 20,B,3167.0,0.3691572444340832,Específico
20,Questão 21,X,,,Específico
21,Questão 22,E,3340.0,0.3893227648910129,Específico
22,Questão 23,B,7130.0,0.8310991957104558,Específico
23,Questão 24,B,2323.0,0.2707774798927614,Específico
24,Questão 25,E,5017.0,0.5848000932509616,Específico
25,Questão 26,E,4817.0,0.5614873528383262,Específico
26,Questão 27,X,,,Específico
27,Questão 28,A,4850.0,0.565333955006411,Específico
28,Questão 29,D,3790.0,0.44177643081944284,Específico
29,Questão 30,E,1386.0,0.16155729105956404,Específico
30,Questão 31,A,2379.0,0.27730504720829935,Específico
31,Questão 32,C,3048.0,0.3552861638885651,Específico
32,Questão 33,Z,,,Específico
33,Questão 34,D,3053.0,0.355868982398881,Específico
34,Questão 35,D,3115.0,0.363095931926798,Específico
