,Questões,Respostas certas,Numeros de acertos,Porcetagem,Componente
0,Questão 1,E,50.0,0.5050505050505051,Geral
1,Questão 2,C,21.0,0.21212121212121213,Geral
2,Questão 3,B,56.0,0.5656565656565656,Geral
3,Questão 4,B,38.0,0.3838383838383838,Geral
4,Questão 5,A,41.0,0.41414141414141414,Geral
5,Questão 6,A,61.0,0.6161616161616161,Geral
6,Questão 7,C,69.0,0.696969696969697,Geral
7,Questão 8,D,20.0,0.20202020202020202,Geral
8,Questão 9,X,,,Específico
9,Questão 10,E,42.0,0.42424242424242425,Específico
10,Questão 11,C,51.0,0.5151515151515151,Específico
11,Questão 12,B,25.0,0.25252525252525254,Específico
12,Questão 13,D,53.0,0.5353535353535354,Específico
13,Questão 14,C,57.0,0.5757575757575758,Específico
14,Questão 15,D,69.0,0.696969696969697,Específico
15,Questão 16,A,30.0,0.30303030303030304,Específico
16,Questão 17,X,,,Específico
17,Questão 18,X,,,Específico
18,Questão 19,A,58.0,0.5858585858585859,Específico
19,Questão 20,B,40.0,0.40404040404040403,Específico
20,Questão 21,X,,,Específico
21,Questão 22,E,39.0,0.3939393939393939,Específico
22,Questão 23,B,87.0,0.8787878787878788,Específico
23,Questão 24,B,28.0,0.2828282828282828,Específico
24,Questão 25,E,66.0,0.6666666666666666,Específico
25,Questão 26,E,54.0,0.5454545454545454,Específico
26,Questão 27,X,,,Específico
27,Questão 28,A,63.0,0.6363636363636364,Específico
28,Questão 29,D,39.0,0.3939393939393939,Específico
29,Questão 30,E,15.0,0.15151515151515152,Específico
30,Questão 31,A,32.0,0.32323232323232326,Específico
31,Questão 32,C,28.0,0.2828282828282828,Específico
32,Questão 33,Z,,,Específico
33,Questão 34,D,29.0,0.29292929292929293,Específico
34,Questão 35,D,31.0,0.31313131313131315,Específico
